Seq,PSRJ,footnote1,pmRA,e_pmRA,pmDE,e_pmDE,lit_pmRA,lit_e_pmRA,footnote2,lit_pmDE,lit_e_pmDE,footnote3,dt,npos,reference,dist,e_dist,vtrans,e_vtrans
1,J0134-2937,d,17,1,-9,2,17,5,e,-15,6,e,18.5,2,1,2,8,160,730
2,J0152-1637,,1,4,-36,4,3,1,,-27,2,,38.5,4,2,0.7,1,120,20
3,J0206-4028,,9,4,26,5,-10,25,,75,35,,38.5,3,3,0.9,2,110,30
4,J0255-5304,,25,4,7,3,0,20,,70,15,,38.5,4,3,1.1,2,140,30
5,J0437-4715,t,121.48,2,-71.43,1,121.439,2,,-71.475,2,,8.5,2,4,0.1568,2,104.7,2
6,J0452-1759,,11.5,9,6,2,9,2,,11,2,,29.3,4,5,0.4,2,20,10
7,J0525+1115,,31,2,-1,8,30,7,,-4,5,,29.3,3,6,3,2,450,270
8,J0536-7543,,3,40,65,8,,,,,,,38.5,3,,0.8,3,240,90
9,J0601-0527,,-5,2,-21,3,18,8,,-16,7,,22.5,2,6,4,2,410,170
10,J0630-2834,,-45,3,28,4,-46.3,10,,21.3,5,,46.6,5,7,0.32,5,80,10
11,J0758-1528,,-10,4,12,3,1,4,,4,6,,21.1,2,2,3.0,3,220,50
12,J0809-4753,,-19,5,15,4,,,,,,,38.4,3,,6,4,730,440
13,J0820-1350,,23,2,-39,3,21.64,9,,-39.44,5,,29.2,4,5,1.9,1,410,30
14,J0837-4135,,11,2,-13,1,-2,2,,-18,3,,38.4,4,2,2,1,120,100
15,J0922+0638,d,84,6,214,15,18.8,9,,86.4,7,,38.5,4,2,1.1,2,1200,230
16,J0942-5657,,-12,7,12,3,,,,,,,38.4,3,,3,1,280,140
17,J0953+0755,,-5,1,22,3,-2.09,8,,29.46,7,,47.9,5,8,0.261,5,30,4
18,J1057-5226,,57,12,2,7,42,5,,-3,5,,38.5,3,9,0.7,4,200,120
19,J1121-5444,d,-17,6,18,6,,,,,,,38.4,2,,5,4,600,490
20,J1136+1551,,-82,3,358,5,-74.0,4,,368.1,3,,47.8,5,8,0.35,2,610,40
21,J1136-5525,,10,17,43,9,,,,,,,38.5,3,,2.1,3,450,120
22,J1141-6545,,-33,4,-6,1,,,,,,,8.1,2,,3,2,480,330
